produto;marca;loja;data;qtd;valor
lavadora;Samsung;Eldorado;2025-1-2;49;4016.64
lavadora;LG;Paulista;2025-1-2;40;3561.24
geladeira;Motorola;Eldorado;2025-1-2;36;4352.18
geladeira;Hitachi;Paulista;2025-1-2;9;1310.82
smart tv;LG;Eldorado;2025-1-2;4;3433.33
ar condicionado;Acer;Eldorado;2025-1-2;17;1420.11
celular;LG;Cidade São Paulo;2025-1-3;46;4207.09
geladeira;Hitachi;Cidade São Paulo;2025-1-3;20;8797.48
lavadora;Samsung;Paulista;2025-1-3;30;1586.51
celular;Acer;Cidade São Paulo;2025-1-3;24;1547.69
lavadora;Samsung;Eldorado;2025-1-3;21;9933.12
smart tv;Motorola;Paulista;2025-1-3;34;5407.52
smart tv;Acer;Paulista;2025-1-3;16;2407.82
geladeira;Midea;Paulista;2025-1-3;12;4845.46
lavadora;LG;Eldorado;2025-1-3;28;3810.38
geladeira;Acer;Cidade São Paulo;2025-1-3;47;2895.86
ar condicionado;LG;Paulista;2025-1-3;18;4461.74
smart tv;LG;Paulista;2025-1-3;37;1180.90
geladeira;Acer;Paulista;2025-1-3;7;5477.28
lavadora;Samsung;Cidade São Paulo;2025-1-3;49;9904.08
ar condicionado;Midea;Paulista;2025-1-3;29;6278.09
lavadora;Midea;Cidade São Paulo;2025-1-3;5;5657.53
ar condicionado;Motorola;Eldorado;2025-1-3;47;5130.73
celular;HP;Paulista;2025-1-3;4;7687.62
geladeira;Samsung;Paulista;2025-1-3;8;8842.98
ar condicionado;Samsung;Cidade São Paulo;2025-1-3;14;2603.79
smart tv;Hitachi;Paulista;2025-1-4;46;4207.76
geladeira;Midea;Paulista;2025-1-4;47;2763.18
celular;Midea;Cidade São Paulo;2025-1-4;25;3782.15
smart tv;Samsung;Paulista;2025-1-4;3;4509.22
celular;Samsung;Eldorado;2025-1-4;23;2985.45
smart tv;LG;Paulista;2025-1-4;49;9800.90
lavadora;Samsung;Paulista;2025-1-4;25;9212.59
geladeira;Acer;Cidade São Paulo;2025-1-4;49;2712.66
ar condicionado;Samsung;Eldorado;2025-1-4;43;5425.56
notebook;HP;Paulista;2025-1-4;45;1857.18
smart tv;Hitachi;Eldorado;2025-1-4;16;8377.57
smart tv;Acer;Eldorado;2025-1-4;12;1149.52
lavadora;Motorola;Paulista;2025-1-4;18;5346.10
ar condicionado;HP;Cidade São Paulo;2025-1-4;18;5281.23
smart tv;LG;Cidade São Paulo;2025-1-4;38;2620.73
geladeira;Motorola;Paulista;2025-1-4;24;5897.56
notebook;Samsung;Paulista;2025-1-4;25;1225.77
notebook;Samsung;Cidade São Paulo;2025-1-4;41;5071.83
lavadora;Motorola;Paulista;2025-1-4;17;1556.80
geladeira;Motorola;Paulista;2025-1-4;50;9418.49
geladeira;Hitachi;Eldorado;2025-1-5;37;6206.62
geladeira;Samsung;Paulista;2025-1-5;30;5623.33
smart tv;HP;Paulista;2025-1-5;49;5295.80
geladeira;HP;Paulista;2025-1-5;9;5852.24
smart tv;HP;Paulista;2025-1-5;25;5863.93
lavadora;HP;Paulista;2025-1-5;19;5313.63
notebook;HP;Eldorado;2025-1-5;24;5352.12
geladeira;LG;Cidade São Paulo;2025-1-5;33;8128.53
smart tv;LG;Eldorado;2025-1-5;36;1149.61
smart tv;LG;Paulista;2025-1-5;45;7169.29
geladeira;LG;Eldorado;2025-1-5;35;5222.64
ar condicionado;Samsung;Paulista;2025-1-5;7;3595.28
lavadora;Hitachi;Cidade São Paulo;2025-1-5;26;5933.63
smart tv;Samsung;Eldorado;2025-1-5;1;9689.63
geladeira;Samsung;Eldorado;2025-1-5;5;5876.03
celular;HP;Cidade São Paulo;2025-1-5;48;4776.07
lavadora;Acer;Paulista;2025-1-5;39;4219.95
notebook;Hitachi;Eldorado;2025-1-5;25;1674.32
smart tv;Hitachi;Eldorado;2025-1-5;24;1470.49
celular;Motorola;Cidade São Paulo;2025-1-5;34;7328.28
notebook;Midea;Paulista;2025-1-6;49;4966.92
notebook;Hitachi;Paulista;2025-1-6;18;4103.87
ar condicionado;Midea;Paulista;2025-1-6;24;6749.13
smart tv;LG;Paulista;2025-1-6;23;3262.12
smart tv;HP;Paulista;2025-1-6;4;5672.80
ar condicionado;Acer;Eldorado;2025-1-6;35;1130.95
geladeira;Midea;Paulista;2025-1-6;9;3199.30
geladeira;LG;Eldorado;2025-1-6;18;5989.07
lavadora;Samsung;Paulista;2025-1-6;30;1307.95
notebook;Samsung;Eldorado;2025-1-6;7;1517.35
lavadora;Motorola;Cidade São Paulo;2025-1-6;27;5732.63
smart tv;LG;Paulista;2025-1-6;35;1144.06
celular;Acer;Cidade São Paulo;2025-1-6;34;7940.80
geladeira;HP;Paulista;2025-1-6;23;7224.62
celular;Samsung;Eldorado;2025-1-6;28;4808.02
lavadora;LG;Paulista;2025-1-6;42;7828.30
smart tv;Hitachi;Paulista;2025-1-6;44;3536.83
smart tv;HP;Cidade São Paulo;2025-1-6;41;6256.77
notebook;Midea;Cidade São Paulo;2025-1-6;39;7032.78
geladeira;Midea;Cidade São Paulo;2025-1-6;39;8346.81
celular;Hitachi;Paulista;2025-1-7;28;2358.43
notebook;LG;Cidade São Paulo;2025-1-7;34;8402.84
smart tv;Motorola;Cidade São Paulo;2025-1-7;3;3991.87
smart tv;Acer;Eldorado;2025-1-7;12;6833.88
celular;HP;Cidade São Paulo;2025-1-7;47;8161.03
notebook;Hitachi;Eldorado;2025-1-7;34;6486.32
lavadora;Hitachi;Eldorado;2025-1-7;47;4357.76
geladeira;Midea;Cidade São Paulo;2025-1-7;19;1904.79
celular;LG;Paulista;2025-1-7;12;1041.40
geladeira;HP;Cidade São Paulo;2025-1-7;3;8383.09
smart tv;HP;Eldorado;2025-1-7;17;2789.77
celular;HP;Eldorado;2025-1-7;11;7713.48
geladeira;LG;Cidade São Paulo;2025-1-7;3;6568.93
notebook;HP;Eldorado;2025-1-7;3;6408.92
smart tv;Samsung;Paulista;2025-1-7;7;4025.98
notebook;Midea;Eldorado;2025-1-7;49;1477.30
smart tv;Hitachi;Paulista;2025-1-7;30;6649.74
ar condicionado;Samsung;Cidade São Paulo;2025-1-7;18;9664.59
celular;Motorola;Eldorado;2025-1-7;2;2991.59
smart tv;Midea;Eldorado;2025-1-7;49;5081.32
ar condicionado;HP;Cidade São Paulo;2025-1-8;12;6844.07
geladeira;Motorola;Eldorado;2025-1-8;26;3853.08
notebook;Acer;Paulista;2025-1-8;41;8817.09
lavadora;Motorola;Cidade São Paulo;2025-1-8;21;8681.92
celular;Midea;Cidade São Paulo;2025-1-8;6;9916.26
lavadora;Samsung;Eldorado;2025-1-8;14;1608.31
notebook;LG;Paulista;2025-1-8;1;6905.32
smart tv;HP;Paulista;2025-1-8;9;2805.68
geladeira;Samsung;Cidade São Paulo;2025-1-8;8;9849.22
celular;LG;Cidade São Paulo;2025-1-8;7;2603.85
celular;Hitachi;Cidade São Paulo;2025-1-8;30;8924.87
geladeira;LG;Eldorado;2025-1-8;13;5116.76
ar condicionado;Hitachi;Cidade São Paulo;2025-1-8;46;6603.67
ar condicionado;HP;Paulista;2025-1-8;10;6079.64
celular;Motorola;Cidade São Paulo;2025-1-8;42;9663.32
lavadora;Samsung;Paulista;2025-1-8;21;1638.55
smart tv;Hitachi;Paulista;2025-1-8;40;2833.64
geladeira;LG;Cidade São Paulo;2025-1-8;35;7504.89
notebook;Samsung;Eldorado;2025-1-8;44;1023.45
celular;Motorola;Cidade São Paulo;2025-1-8;36;9026.34
ar condicionado;Samsung;Cidade São Paulo;2025-1-9;27;1049.91
celular;LG;Cidade São Paulo;2025-1-9;20;6444.37
notebook;Acer;Paulista;2025-1-9;12;1220.05
ar condicionado;Samsung;Eldorado;2025-1-9;48;5330.71
lavadora;Samsung;Paulista;2025-1-9;2;3106.81
geladeira;Midea;Paulista;2025-1-9;29;6814.99
geladeira;Samsung;Paulista;2025-1-9;47;9500.02
celular;Samsung;Eldorado;2025-1-9;42;4979.50
notebook;Motorola;Eldorado;2025-1-9;1;7648.74
celular;Acer;Paulista;2025-1-9;9;7340.64
celular;Midea;Cidade São Paulo;2025-1-9;25;1917.80
lavadora;LG;Eldorado;2025-1-9;6;6273.90
notebook;LG;Paulista;2025-1-9;49;4950.19
lavadora;Acer;Eldorado;2025-1-9;24;8339.78
celular;Acer;Eldorado;2025-1-9;11;7995.16
notebook;Acer;Paulista;2025-1-9;23;8538.03
geladeira;Motorola;Paulista;2025-1-9;12;5084.59
geladeira;Samsung;Paulista;2025-1-9;23;1240.16
smart tv;Acer;Paulista;2025-1-9;8;9625.86
celular;Midea;Paulista;2025-1-9;34;5953.76
geladeira;Motorola;Cidade São Paulo;2025-1-10;27;7832.75
lavadora;Hitachi;Eldorado;2025-1-10;48;7959.80
ar condicionado;Midea;Eldorado;2025-1-10;4;2487.64
geladeira;Midea;Paulista;2025-1-10;38;7720.94
celular;Acer;Paulista;2025-1-10;14;8736.18
lavadora;Midea;Cidade São Paulo;2025-1-10;28;5702.00
ar condicionado;Midea;Eldorado;2025-1-10;43;9641.11
celular;LG;Eldorado;2025-1-10;2;7787.46
smart tv;Samsung;Paulista;2025-1-10;35;8944.21
lavadora;Midea;Paulista;2025-1-10;28;7290.77
smart tv;Samsung;Eldorado;2025-1-10;37;1154.07
geladeira;Acer;Eldorado;2025-1-10;37;8866.84
ar condicionado;Acer;Paulista;2025-1-10;31;6262.98
smart tv;HP;Eldorado;2025-1-10;16;7545.67
ar condicionado;HP;Paulista;2025-1-10;49;2004.15
geladeira;HP;Eldorado;2025-1-10;18;3219.84
ar condicionado;LG;Eldorado;2025-1-10;7;7127.91
celular;Acer;Eldorado;2025-1-10;31;6430.30
lavadora;Acer;Paulista;2025-1-10;32;6017.72
ar condicionado;Hitachi;Cidade São Paulo;2025-1-10;26;3038.60
notebook;HP;Cidade São Paulo;2025-1-11;46;7788.92
notebook;Motorola;Paulista;2025-1-11;50;8188.99
geladeira;Midea;Cidade São Paulo;2025-1-11;42;4908.73
geladeira;Samsung;Eldorado;2025-1-11;32;8845.27
lavadora;HP;Paulista;2025-1-11;45;9302.92
smart tv;Acer;Eldorado;2025-1-11;2;6147.24
notebook;Hitachi;Paulista;2025-1-11;15;6972.98
celular;LG;Cidade São Paulo;2025-1-11;48;5190.14
notebook;HP;Cidade São Paulo;2025-1-11;13;7373.42
celular;Samsung;Eldorado;2025-1-11;19;8789.51
ar condicionado;Samsung;Eldorado;2025-1-11;15;2671.16
smart tv;LG;Paulista;2025-1-11;16;3281.69
lavadora;HP;Cidade São Paulo;2025-1-11;2;5408.67
notebook;Hitachi;Cidade São Paulo;2025-1-11;48;7218.30
ar condicionado;Samsung;Cidade São Paulo;2025-1-11;8;9277.13
celular;Samsung;Paulista;2025-1-11;1;1134.51
smart tv;Samsung;Cidade São Paulo;2025-1-11;43;9955.42
notebook;Samsung;Cidade São Paulo;2025-1-11;26;1904.38
notebook;Samsung;Cidade São Paulo;2025-1-11;26;1558.90
smart tv;Acer;Cidade São Paulo;2025-1-11;16;7823.63
notebook;Samsung;Paulista;2025-1-12;21;7790.84
celular;LG;Paulista;2025-1-12;47;7391.09
lavadora;LG;Cidade São Paulo;2025-1-12;29;5197.73
notebook;Midea;Paulista;2025-1-12;34;8123.51
smart tv;HP;Eldorado;2025-1-12;18;6150.97
ar condicionado;Hitachi;Eldorado;2025-1-12;26;8630.39
notebook;Midea;Paulista;2025-1-12;38;5737.80
lavadora;Acer;Paulista;2025-1-12;12;7408.44
notebook;Motorola;Cidade São Paulo;2025-1-12;41;7938.13
geladeira;Hitachi;Eldorado;2025-1-12;28;9406.41
smart tv;Acer;Cidade São Paulo;2025-1-12;22;5723.02
smart tv;Hitachi;Cidade São Paulo;2025-1-12;10;3284.81
geladeira;Hitachi;Eldorado;2025-1-12;44;2705.14
smart tv;Acer;Paulista;2025-1-12;16;3577.66
geladeira;Midea;Cidade São Paulo;2025-1-12;14;6698.15
geladeira;Motorola;Eldorado;2025-1-12;36;2141.97
ar condicionado;HP;Cidade São Paulo;2025-1-12;50;2272.50
geladeira;Midea;Eldorado;2025-1-12;11;4875.26
geladeira;LG;Paulista;2025-1-12;5;8469.93
celular;Hitachi;Cidade São Paulo;2025-1-12;46;5478.38
geladeira;Motorola;Eldorado;2025-1-13;6;8721.92
notebook;Samsung;Cidade São Paulo;2025-1-13;24;8953.26
geladeira;HP;Eldorado;2025-1-13;44;3013.42
notebook;Midea;Cidade São Paulo;2025-1-13;2;6339.27
ar condicionado;LG;Eldorado;2025-1-13;5;4687.36
smart tv;Midea;Eldorado;2025-1-13;4;6710.46
lavadora;LG;Eldorado;2025-1-13;20;3604.00
smart tv;Samsung;Cidade São Paulo;2025-1-13;6;9726.77
celular;Samsung;Cidade São Paulo;2025-1-13;41;1828.54
notebook;Acer;Paulista;2025-1-13;50;2472.07
lavadora;Samsung;Cidade São Paulo;2025-1-13;36;3473.85
notebook;LG;Cidade São Paulo;2025-1-13;16;2422.91
lavadora;HP;Cidade São Paulo;2025-1-13;12;7851.61
geladeira;Hitachi;Paulista;2025-1-13;15;9155.19
geladeira;Acer;Eldorado;2025-1-13;7;3806.09
ar condicionado;Motorola;Cidade São Paulo;2025-1-13;11;9248.16
celular;LG;Paulista;2025-1-13;20;5669.58
ar condicionado;Samsung;Cidade São Paulo;2025-1-13;45;3165.54
lavadora;HP;Cidade São Paulo;2025-1-13;30;7325.08
notebook;Motorola;Eldorado;2025-1-13;17;8067.89
lavadora;LG;Paulista;2025-1-14;8;1952.76
geladeira;Samsung;Eldorado;2025-1-14;13;4930.64
ar condicionado;LG;Paulista;2025-1-14;7;3302.55
lavadora;Samsung;Cidade São Paulo;2025-1-14;44;5133.04
notebook;Samsung;Eldorado;2025-1-14;6;3957.15
smart tv;LG;Eldorado;2025-1-14;29;7821.71
smart tv;LG;Cidade São Paulo;2025-1-14;18;6613.31
smart tv;Midea;Paulista;2025-1-14;45;7897.42
geladeira;HP;Paulista;2025-1-14;49;9408.34
celular;Samsung;Eldorado;2025-1-14;21;4913.94
ar condicionado;Motorola;Paulista;2025-1-14;35;1806.04
ar condicionado;Motorola;Eldorado;2025-1-14;4;4845.54
smart tv;HP;Paulista;2025-1-14;11;8731.78
celular;Motorola;Paulista;2025-1-14;1;6564.16
smart tv;Motorola;Paulista;2025-1-14;34;8689.99
notebook;Motorola;Cidade São Paulo;2025-1-14;15;3518.04
notebook;HP;Cidade São Paulo;2025-1-14;17;3784.94
notebook;Samsung;Paulista;2025-1-14;13;5287.35
notebook;Hitachi;Cidade São Paulo;2025-1-14;3;4564.99
smart tv;Samsung;Cidade São Paulo;2025-1-14;8;6892.46
geladeira;Acer;Cidade São Paulo;2025-1-15;22;1912.92
celular;Midea;Paulista;2025-1-15;6;5923.64
notebook;Motorola;Eldorado;2025-1-15;19;4470.38
lavadora;Motorola;Cidade São Paulo;2025-1-15;7;9659.05
notebook;Acer;Eldorado;2025-1-15;13;1878.98
smart tv;HP;Cidade São Paulo;2025-1-15;18;8254.87
ar condicionado;Motorola;Paulista;2025-1-15;33;8543.79
geladeira;LG;Cidade São Paulo;2025-1-15;26;3066.13
geladeira;Acer;Eldorado;2025-1-15;30;5184.70
smart tv;Midea;Eldorado;2025-1-15;20;5946.28
geladeira;Hitachi;Eldorado;2025-1-15;22;8996.73
lavadora;Hitachi;Cidade São Paulo;2025-1-15;46;2937.31
smart tv;LG;Eldorado;2025-1-15;11;6800.27
notebook;HP;Paulista;2025-1-15;11;1532.66
notebook;Midea;Eldorado;2025-1-15;4;4158.19
celular;Acer;Eldorado;2025-1-15;47;7922.08
smart tv;Midea;Paulista;2025-1-15;14;4403.90
geladeira;LG;Cidade São Paulo;2025-1-15;26;4852.86
lavadora;Samsung;Paulista;2025-1-15;24;1312.29
ar condicionado;HP;Cidade São Paulo;2025-1-15;6;7688.68
smart tv;Samsung;Cidade São Paulo;2025-1-16;18;6006.30
celular;Acer;Paulista;2025-1-16;24;1415.00
geladeira;Motorola;Eldorado;2025-1-16;9;1239.25
celular;Samsung;Cidade São Paulo;2025-1-16;41;5618.66
geladeira;Hitachi;Eldorado;2025-1-16;4;5653.46
ar condicionado;Hitachi;Cidade São Paulo;2025-1-16;26;8052.76
smart tv;Midea;Cidade São Paulo;2025-1-16;1;6741.95
celular;HP;Eldorado;2025-1-16;25;4531.57
celular;HP;Eldorado;2025-1-16;10;4150.22
lavadora;Hitachi;Eldorado;2025-1-16;6;6736.86
smart tv;HP;Cidade São Paulo;2025-1-16;36;2766.71
notebook;Hitachi;Cidade São Paulo;2025-1-16;5;6824.27
geladeira;Acer;Eldorado;2025-1-16;8;6424.35
geladeira;Midea;Eldorado;2025-1-16;30;1630.65
notebook;Hitachi;Paulista;2025-1-16;19;1039.49
ar condicionado;Hitachi;Cidade São Paulo;2025-1-16;21;3090.06
geladeira;Samsung;Cidade São Paulo;2025-1-16;25;6359.58
notebook;Hitachi;Cidade São Paulo;2025-1-16;23;1802.51
ar condicionado;Hitachi;Cidade São Paulo;2025-1-16;17;2559.41
notebook;Samsung;Eldorado;2025-1-16;34;6025.75
geladeira;Motorola;Cidade São Paulo;2025-1-17;11;6263.33
lavadora;Hitachi;Paulista;2025-1-17;19;2521.69
celular;LG;Eldorado;2025-1-17;13;5715.51
celular;Motorola;Paulista;2025-1-17;36;7174.48
celular;Acer;Paulista;2025-1-17;19;8406.76
lavadora;Motorola;Eldorado;2025-1-17;30;5657.57
notebook;Samsung;Eldorado;2025-1-17;41;1854.73
ar condicionado;LG;Paulista;2025-1-17;42;9974.06
notebook;HP;Paulista;2025-1-17;37;6181.68
smart tv;Hitachi;Cidade São Paulo;2025-1-17;2;3752.60
celular;Acer;Cidade São Paulo;2025-1-17;26;5072.31
smart tv;HP;Paulista;2025-1-17;32;3298.68
ar condicionado;LG;Paulista;2025-1-17;42;6053.12
celular;Motorola;Paulista;2025-1-17;17;8172.41
ar condicionado;Midea;Cidade São Paulo;2025-1-17;26;5349.24
ar condicionado;Motorola;Eldorado;2025-1-17;50;9228.48
celular;LG;Eldorado;2025-1-17;5;4959.80
lavadora;Acer;Cidade São Paulo;2025-1-17;5;6479.62
lavadora;Acer;Paulista;2025-1-17;38;7246.21
lavadora;Motorola;Cidade São Paulo;2025-1-17;18;3904.90
geladeira;Midea;Cidade São Paulo;2025-1-18;21;9257.23
smart tv;HP;Cidade São Paulo;2025-1-18;32;4806.19
celular;Acer;Paulista;2025-1-18;16;9286.33
celular;HP;Paulista;2025-1-18;18;4161.30
smart tv;LG;Eldorado;2025-1-18;10;3038.07
smart tv;HP;Eldorado;2025-1-18;14;3272.85
celular;Motorola;Eldorado;2025-1-18;20;4117.25
lavadora;Samsung;Cidade São Paulo;2025-1-18;40;1423.40
smart tv;HP;Paulista;2025-1-18;26;7057.68
lavadora;Motorola;Paulista;2025-1-18;30;5386.46
lavadora;HP;Eldorado;2025-1-18;5;2946.83
celular;Motorola;Cidade São Paulo;2025-1-18;43;5458.67
geladeira;Samsung;Eldorado;2025-1-18;1;5815.73
lavadora;HP;Eldorado;2025-1-18;35;9226.25
smart tv;Hitachi;Eldorado;2025-1-18;29;7149.06
smart tv;Samsung;Paulista;2025-1-18;7;1993.15
smart tv;Motorola;Cidade São Paulo;2025-1-18;45;7116.31
lavadora;Samsung;Eldorado;2025-1-18;47;5608.59
geladeira;Midea;Eldorado;2025-1-18;50;2534.23
ar condicionado;Hitachi;Cidade São Paulo;2025-1-18;8;4106.39
geladeira;Samsung;Eldorado;2025-1-19;19;5938.17
lavadora;LG;Paulista;2025-1-19;33;4492.60
smart tv;Samsung;Paulista;2025-1-19;43;5257.63
celular;HP;Paulista;2025-1-19;18;3762.51
lavadora;Midea;Paulista;2025-1-19;45;1640.18
lavadora;Hitachi;Paulista;2025-1-19;10;3831.47
celular;Midea;Eldorado;2025-1-19;4;5421.83
ar condicionado;LG;Eldorado;2025-1-19;38;7461.49
geladeira;Acer;Paulista;2025-1-19;7;9072.85
geladeira;Acer;Eldorado;2025-1-19;26;7559.88
smart tv;HP;Eldorado;2025-1-19;31;9879.13
celular;Motorola;Paulista;2025-1-19;38;4030.23
smart tv;Acer;Paulista;2025-1-19;40;3427.99
notebook;Hitachi;Paulista;2025-1-19;36;6125.68
smart tv;HP;Eldorado;2025-1-19;47;2964.90
notebook;LG;Paulista;2025-1-19;48;5335.33
celular;Samsung;Eldorado;2025-1-19;1;9725.60
geladeira;Hitachi;Eldorado;2025-1-19;34;4672.38
celular;LG;Paulista;2025-1-19;25;2752.34
geladeira;Samsung;Cidade São Paulo;2025-1-19;21;1341.81
ar condicionado;LG;Paulista;2025-1-20;39;3261.66
celular;Motorola;Paulista;2025-1-20;34;9705.23
notebook;HP;Cidade São Paulo;2025-1-20;16;3310.51
smart tv;Samsung;Cidade São Paulo;2025-1-20;46;2106.61
celular;Motorola;Eldorado;2025-1-20;38;4526.11
notebook;Hitachi;Eldorado;2025-1-20;22;8495.05
notebook;Midea;Eldorado;2025-1-20;21;6637.16
lavadora;Acer;Cidade São Paulo;2025-1-20;35;5727.49
notebook;LG;Eldorado;2025-1-20;50;7330.22
celular;Acer;Cidade São Paulo;2025-1-20;14;7878.09
lavadora;Samsung;Cidade São Paulo;2025-1-20;17;6160.35
notebook;LG;Cidade São Paulo;2025-1-20;37;3615.30
celular;Samsung;Paulista;2025-1-20;20;2323.91
celular;Acer;Eldorado;2025-1-20;2;4881.60
celular;HP;Eldorado;2025-1-20;46;1144.37
notebook;LG;Eldorado;2025-1-20;1;5932.61
ar condicionado;LG;Eldorado;2025-1-20;9;5456.42
lavadora;Acer;Paulista;2025-1-20;48;5119.42
notebook;Midea;Paulista;2025-1-20;24;3635.78
ar condicionado;Midea;Eldorado;2025-1-20;47;6096.86
notebook;LG;Cidade São Paulo;2025-1-21;33;6417.45
notebook;Hitachi;Eldorado;2025-1-21;42;4588.78
celular;Motorola;Cidade São Paulo;2025-1-21;10;5546.02
celular;Hitachi;Cidade São Paulo;2025-1-21;5;4608.23
ar condicionado;Acer;Eldorado;2025-1-21;31;6778.31
ar condicionado;LG;Cidade São Paulo;2025-1-21;5;7995.89
ar condicionado;Motorola;Cidade São Paulo;2025-1-21;33;1064.06
celular;HP;Eldorado;2025-1-21;30;6872.87
smart tv;LG;Paulista;2025-1-21;16;1768.66
smart tv;Motorola;Cidade São Paulo;2025-1-21;38;4315.08
notebook;Samsung;Cidade São Paulo;2025-1-21;32;8000.37
notebook;HP;Paulista;2025-1-21;46;7751.33
celular;Motorola;Cidade São Paulo;2025-1-21;6;1726.81
lavadora;LG;Eldorado;2025-1-21;44;1956.50
notebook;Motorola;Paulista;2025-1-21;22;7807.66
notebook;Samsung;Cidade São Paulo;2025-1-21;34;4310.17
lavadora;LG;Eldorado;2025-1-21;35;8515.28
celular;Hitachi;Cidade São Paulo;2025-1-21;49;8682.11
ar condicionado;Samsung;Cidade São Paulo;2025-1-21;2;9845.25
notebook;Acer;Paulista;2025-1-21;25;3357.16
smart tv;Acer;Eldorado;2025-1-22;7;4325.95
celular;Samsung;Cidade São Paulo;2025-1-22;17;9669.40
geladeira;Samsung;Eldorado;2025-1-22;30;6348.69
celular;LG;Cidade São Paulo;2025-1-22;31;1789.81
geladeira;LG;Eldorado;2025-1-22;46;1232.42
notebook;Acer;Cidade São Paulo;2025-1-22;25;4279.66
geladeira;Samsung;Paulista;2025-1-22;24;2208.24
ar condicionado;Samsung;Eldorado;2025-1-22;22;6347.69
lavadora;HP;Paulista;2025-1-22;32;1670.20
geladeira;Samsung;Cidade São Paulo;2025-1-22;26;4871.39
lavadora;Acer;Eldorado;2025-1-22;42;1176.98
ar condicionado;Samsung;Cidade São Paulo;2025-1-22;10;7932.68
ar condicionado;LG;Cidade São Paulo;2025-1-22;34;2347.52
smart tv;Acer;Paulista;2025-1-22;16;7718.96
geladeira;HP;Cidade São Paulo;2025-1-22;12;4892.11
ar condicionado;Hitachi;Paulista;2025-1-22;20;1989.69
geladeira;Hitachi;Eldorado;2025-1-22;1;4376.72
lavadora;Motorola;Paulista;2025-1-22;2;9194.60
geladeira;Samsung;Paulista;2025-1-22;9;3941.43
notebook;Samsung;Cidade São Paulo;2025-1-22;45;5551.25
notebook;LG;Paulista;2025-1-23;34;4092.18
geladeira;HP;Cidade São Paulo;2025-1-23;6;3926.12
ar condicionado;HP;Eldorado;2025-1-23;31;5783.87
notebook;Motorola;Paulista;2025-1-23;3;2418.74
smart tv;HP;Cidade São Paulo;2025-1-23;48;8389.39
celular;Midea;Paulista;2025-1-23;14;8596.75
celular;LG;Paulista;2025-1-23;21;6385.28
ar condicionado;Motorola;Paulista;2025-1-23;46;8099.80
notebook;Motorola;Eldorado;2025-1-23;28;9332.03
notebook;HP;Paulista;2025-1-23;25;9310.83
ar condicionado;Samsung;Eldorado;2025-1-23;21;5515.57
geladeira;Acer;Eldorado;2025-1-23;27;9682.59
celular;Samsung;Cidade São Paulo;2025-1-23;21;9199.32
celular;Hitachi;Cidade São Paulo;2025-1-23;7;9648.94
ar condicionado;Samsung;Eldorado;2025-1-23;31;4601.52
smart tv;Motorola;Paulista;2025-1-23;22;2188.02
geladeira;Motorola;Cidade São Paulo;2025-1-23;7;3714.52
celular;Samsung;Eldorado;2025-1-23;29;6241.89
lavadora;Midea;Eldorado;2025-1-23;14;5596.49
geladeira;HP;Paulista;2025-1-23;7;2144.68
geladeira;Midea;Cidade São Paulo;2025-1-24;17;5751.25
geladeira;Midea;Cidade São Paulo;2025-1-24;2;9204.84
ar condicionado;LG;Paulista;2025-1-24;36;7919.95
geladeira;Samsung;Eldorado;2025-1-24;34;9306.57
celular;Acer;Cidade São Paulo;2025-1-24;31;7346.68
